date,product,category,price,quantity,region
2024-01-15,Laptop,Electronics,45000,2,Moscow
2024-01-16,Mouse,Accessories,800,5,St. Petersburg
2024-01-16,Keyboard,Accessories,1500,3,Moscow
2024-01-17,Monitor,Electronics,12000,1,Kazan
2024-01-18,Laptop,Electronics,48000,1,Moscow
2024-01-19,USB Cable,Accessories,300,10,St. Petersburg
2024-01-20,Tablet,Electronics,25000,2,Kazan
2024-01-21,Headphones,Accessories,3500,4,Moscow
2024-01-22,Webcam,Electronics,5500,2,Novosibirsk
2024-01-23,Printer,Electronics,15000,1,St. Petersburg
2024-01-24,SSD,Electronics,8000,3,Moscow
2024-01-25,Mouse Pad,Accessories,500,8,Kazan
2024-01-26,Laptop,Electronics,52000,1,Novosibirsk
2024-01-27,Speaker,Accessories,4200,2,Moscow
2024-01-28,Monitor,Electronics,14000,2,St. Petersburg
